Date,Video,Time
2024-10-23,Video 115,1:30
2024-10-24,Video 116,0:50
2024-10-25,Video 117,0:10
2024-10-26,Video 118,0:50
2024-10-27,Video 119,0:05
2024-10-28,Video 120,1:00
2024-10-29,Video 121,2:05
2024-10-30,Video 122,0:30
2024-10-31,Video 123,0:10
2024-11-01,Video 124,0:30
2024-11-02,Video 125,2:05
2024-11-03,Video 126,0:30
2024-11-04,Video 127,0:20
2024-11-05,Video 128,0:20
2024-11-06,Video 129,0:50
2024-11-07,Video 130,0:30
2024-11-08,Video 131,0:55
2024-11-09,Video 132,0:15
2024-11-10,Video 133,0:00
2024-11-11,Video 134,0:55
2024-11-12,Video 135,0:15
2024-11-13,Video 136,1:10
2024-11-14,Video 137,1:50
2024-11-15,Video 138,0:50
2024-11-16,Video 139,1:50
2024-11-17,Video 140,0:10
2024-11-18,Video 141,0:05
2024-11-19,Video 142,1:00
2024-11-20,Video 143,0:05
2024-11-21,Video 144,1:45
2024-11-22,Video 145,0:00
2024-11-23,Video 146,0:45
2024-11-24,Video 147,1:00
2024-11-25,Video 148,1:10
2024-11-26,Video 149,1:15
2024-11-27,Video 150,1:55
2024-11-28,Video 151,1:30
2024-11-29,Video 152,1:55
2024-11-30,Video 153,0:30
2024-12-01,Video 154,0:05
2024-12-02,Video 155,1:30
2024-12-03,Video 156,2:55
2024-12-04,Video 157,2:15
2024-12-05,Video 158,0:30
2024-12-06,Video 159,0:10
2024-12-07,Video 160,1:00
2024-12-08,Video 161,2:50
2024-12-09,Video 162,1:05
2024-12-10,Video 163,2:05
2024-12-11,Video 164,0:00
2024-12-12,Video 165,0:10
2024-12-13,Video 166,0:00
2024-12-14,Video 167,1:10
2024-12-15,Video 168,1:15
2024-12-16,Video 169,0:05
2024-12-17,Video 170,0:45
2024-12-18,Video 171,1:45
2024-12-19,Video 172,0:10
2024-12-20,Video 173,2:00
2024-12-21,Video 174,0:45
2024-12-22,Video 175,0:45
2024-12-23,Video 176,0:15
2024-12-24,Video 177,1:20
2024-12-25,Video 178,0:20
2024-12-26,Video 179,2:30
2024-12-27,Video 180,0:30
2024-12-28,Video 181,2:55
2024-12-29,Video 182,1:50
2024-12-30,Video 183,0:55
2024-12-31,Video 184,1:50
2025-01-01,Video 185,0:30
2025-01-02,Video 186,0:50
2025-01-03,Video 187,1:00
2025-01-04,Video 188,0:50
2025-01-05,Video 189,0:50
2025-01-06,Video 190,0:45
2025-01-07,Video 191,1:45
2025-01-08,Video 192,1:15
2025-01-09,Video 193,0:30
2025-01-10,Video 194,1:30
2025-01-11,Video 195,0:10
2025-01-12,Video 196,0:55
2025-01-13,Video 197,1:30
2025-01-14,Video 198,0:00
2025-01-15,Video 199,1:10
2025-01-16,Video 200,2:55
2025-01-17,Video 201,0:20
2025-01-18,Video 202,1:45
2025-01-19,Video 203,0:45
2025-01-20,Video 204,2:55
2025-01-21,Video 205,0:05
2025-01-22,Video 206,0:00
2025-01-23,Video 207,0:00
2025-01-24,Video 208,1:45
2025-01-25,Video 209,2:20
2025-01-26,Video 210,0:20
2025-01-27,Video 211,1:10
2025-01-28,Video 212,1:10
2025-01-29,Video 213,1:50
2025-01-30,Video 214,0:15
2025-01-31,Video 215,1:10
2025-02-01,Video 216,1:45
2025-02-02,Video 217,0:30
2025-02-03,Video 218,0:15
2025-02-04,Video 219,1:15
2025-02-05,Video 220,0:50
2025-02-06,Video 221,0:50
2025-02-07,Video 222,0:30
2025-02-08,Video 223,2:50
2025-02-09,Video 224,1:05
2025-02-10,Video 225,2:30
2025-02-11,Video 226,0:20
2025-02-12,Video 227,1:10
2025-02-13,Video 228,2:50
2025-02-14,Video 229,0:00
2025-02-15,Video 230,0:20
2025-02-16,Video 231,2:30
2025-02-17,Video 232,0:50
2025-02-18,Video 233,0:15
2025-02-19,Video 234,2:30
2025-02-20,Video 235,1:00
2025-02-21,Video 236,2:55
2025-02-22,Video 237,1:10
2025-02-23,Video 238,0:55
2025-02-24,Video 239,1:05
2025-02-25,Video 240,1:50
2025-02-26,Video 241,2:05
2025-02-27,Video 242,1:30
2025-02-28,Video 243,2:10
2025-03-01,Video 244,2:45
2025-03-02,Video 245,0:20
2025-03-03,Video 246,1:10
2025-03-04,Video 247,2:00
2025-03-05,Video 248,0:55
2025-03-06,Video 249,1:15
2025-03-07,Video 250,2:15
2025-03-08,Video 251,0:15
2025-03-09,Video 252,0:15
2025-03-10,Video 253,1:55
2025-03-11,Video 254,0:45
2025-03-12,Video 255,1:05
2025-03-13,Video 256,1:50
2025-03-14,Video 257,1:45
2025-03-15,Video 258,1:00
2025-03-16,Video 259,1:30
2025-03-17,Video 260,0:05
2025-03-18,Video 261,0:05
2025-03-19,Video 262,1:00
2025-03-20,Video 263,2:15
2025-03-21,Video 264,2:30
2025-03-22,Video 265,1:20
2025-03-23,Video 266,1:15
2025-03-24,Video 267,1:30
2025-03-25,Video 268,1:50
2025-03-26,Video 269,1:45
2025-03-27,Video 270,0:00
2025-03-28,Video 271,2:45
2025-03-29,Video 272,1:45
2025-03-30,Video 273,1:45
2025-03-31,Video 274,1:10
2025-04-01,Video 275,2:15
2025-04-02,Video 276,0:55
2025-04-03,Video 277,1:00
2025-04-04,Video 278,0:50
2025-04-05,Video 279,0:45
2025-04-06,Video 280,1:30
2025-04-07,Video 281,0:30
2025-04-08,Video 282,0:50
2025-04-09,Video 283,2:50
2025-04-10,Video 284,0:55
2025-04-11,Video 285,0:10
2025-04-12,Video 286,0:30
2025-04-13,Video 287,0:45
2025-04-14,Video 288,0:55
2025-04-15,Video 289,0:50
2025-04-16,Video 290,0:50
2025-04-17,Video 291,1:30
2025-04-18,Video 292,1:45
2025-04-19,Video 293,0:45
2025-04-20,Video 294,2:15
2025-04-21,Video 295,0:10
2025-04-22,Video 296,1:30
2025-04-23,Video 297,0:55
2025-04-24,Video 298,2:45
2025-04-25,Video 299,2:50
2025-04-26,Video 300,2:05
2025-04-27,Video 301,0:55
2025-04-28,Video 302,1:30
2025-04-29,Video 303,1:20
2025-04-30,Video 304,1:05
2025-05-01,Video 305,1:00
2025-05-02,Video 306,0:10
2025-05-03,Video 307,1:00
2025-05-04,Video 308,0:10
2025-05-05,Video 309,0:50
2025-05-06,Video 310,1:15
2025-05-07,Video 311,1:15
2025-05-08,Video 312,0:05
2025-05-09,Video 313,0:15
2025-05-10,Video 314,0:20
2025-05-11,Video 315,0:10
2025-05-12,Video 316,1:50
2025-05-13,Video 317,0:45
2025-05-14,Video 318,0:05
2025-05-15,Video 319,0:30
2025-05-16,Video 320,0:45
2025-05-17,Video 321,0:55
2025-05-18,Video 322,1:30
2025-05-19,Video 323,0:00
2025-05-20,Video 324,0:20
2025-05-21,Video 325,0:10
2025-05-22,Video 326,2:05
2025-05-23,Video 327,2:30
2025-05-24,Video 328,1:45
2025-05-25,Video 329,1:50
2025-05-26,Video 330,1:45
2025-05-27,Video 331,0:15
2025-05-28,Video 332,1:00
2025-05-29,Video 333,1:30
2025-05-30,Video 334,0:20
2025-05-31,Video 335,0:15
2025-06-01,Video 336,0:55
2025-06-02,Video 337,0:45
2025-06-03,Video 338,2:55
2025-06-04,Video 339,2:30
2025-06-05,Video 340,0:20
2025-06-06,Video 341,0:15
2025-06-07,Video 342,1:00
2025-06-08,Video 343,1:30
2025-06-09,Video 344,1:00
2025-06-10,Video 345,2:15
2025-06-11,Video 346,1:10
2025-06-12,Video 347,0:00
2025-06-13,Video 348,2:10
2025-06-14,Video 349,0:05
2025-06-15,Video 350,2:50
2025-06-16,Video 351,0:00
2025-06-17,Video 352,0:00
2025-06-18,Video 353,0:20
2025-06-19,Video 354,2:10
2025-06-20,Video 355,0:30
2025-06-21,Video 356,0:00
2025-06-22,Video 357,2:45
2025-06-23,Video 358,0:05
2025-06-24,Video 359,0:10
2025-06-25,Video 360,1:05
2025-06-26,Video 361,1:55
2025-06-27,Video 362,1:10
2025-06-28,Video 363,0:50
2025-06-29,Video 364,1:10
2025-06-30,Video 365,0:05
2025-07-03,nihongo douga,1:12
2025-07-02,podcast,1:35
2025-07-01,podcast,1:22
